case_id	object_key	source_exp	retarget_variant_id	qpos_frames	euler_convention	roundtrip_position_error_cm_max	roundtrip_orientation_error_deg_max	omnirt_contact_3mm_in_mask	prg_contact_3mm_in_mask	delta_prg_minus_omnirt_contact_3mm_in_mask	improvement_contact_3mm_in_mask	omnirt_raw_contact_in_mask	prg_raw_contact_in_mask	delta_prg_minus_omnirt_raw_contact_in_mask	improvement_raw_contact_in_mask	omnirt_hand_object_penetration_3mm	prg_hand_object_penetration_3mm	delta_prg_minus_omnirt_hand_object_penetration_3mm	improvement_hand_object_penetration_3mm	omnirt_lower_body_penetration	prg_lower_body_penetration	delta_prg_minus_omnirt_lower_body_penetration	improvement_lower_body_penetration	omnirt_foot_slip_max_m	prg_foot_slip_max_m	delta_prg_minus_omnirt_foot_slip_max_m	improvement_foot_slip_max_m	omnirt_obj_speed_max	prg_obj_speed_max	delta_prg_minus_omnirt_obj_speed_max	improvement_obj_speed_max	omnirt_ankle_jerk_p95	prg_ankle_jerk_p95	delta_prg_minus_omnirt_ankle_jerk_p95	improvement_ankle_jerk_p95
box001_20231023_109_p2	box001	E173	omnirt_v1	110	ZYX	4.447527879e-14	2.414836539e-06	0	0.6029411765	0.6029411765	0.6029411765	0.9852941176	0.8382352941	-0.1470588235	-0.1470588235	0.6363636364	0.1636363636	-0.4727272728	0.4727272728	0	0	0	-0	1.090291613	0.7903300851	-0.2999615279	0.2999615279	1.508967285	0.8858965182	-0.6230707668	0.6230707668	1178.432124	394.4701646	-783.9619594	783.9619594
box001_20231023_110_p1	box001	E173	omnirt_v2	174	XZY	4.839349969e-14	2.414836539e-06	0.07954545455	0	-0.07954545455	-0.07954545455	0.9318181818	0	-0.9318181818	-0.9318181818	0.4367816092	0	-0.4367816092	0.4367816092	0.2011494253	0	-0.2011494253	0.2011494253	0.9124049398	0.4014287919	-0.5109761479	0.5109761479	1.300923082	0.9355582604	-0.3653648216	0.3653648216	3413.24251	1126.690968	-2286.551542	2286.551542
box001_20231023_110_p2	box001	E173	omnirt_v1	190	XZY	3.764949454e-14	2.414836539e-06	0.09782608696	0.6413043478	0.5434782608	0.5434782608	1	0.7065217391	-0.2934782609	-0.2934782609	0.4526315789	0.04210526316	-0.4105263157	0.4105263157	0	0	0	-0	1.945109569	0.7736087286	-1.17150084	1.17150084	1.306527262	1.105745776	-0.200781486	0.200781486	1363.223563	566.4632476	-796.7603154	796.7603154
box004_20231003_2_082_p1	box004	E172	omnirt_v1	109	YZX	5.661048867e-14	1.707547293e-06	0.09836065574	0.393442623	0.2950819673	0.2950819673	0.9016393443	0.7213114754	-0.1803278689	-0.1803278689	0.4678899083	0.2018348624	-0.2660550459	0.2660550459	0	0	0	-0	1.345057277	0.7695138447	-0.5755434323	0.5755434323	5.697912137	1.986952745	-3.710959392	3.710959392	1488.44169	686.603358	-801.838332	801.838332
box004_20231003_2_082_p2	box004	E172	omnirt_v2	108	YZX	4.965068306e-14	2.414836539e-06	0	0.4761904762	0.4761904762	0.4761904762	0.9841269841	0.7777777778	-0.2063492063	-0.2063492063	0.5833333333	0.1851851852	-0.3981481481	0.3981481481	0	0.06481481481	0.06481481481	-0.06481481481	1.758424135	1.580105484	-0.178318651	0.178318651	5.734148807	2.054315487	-3.67983332	3.67983332	1687.113296	839.8249105	-847.2883855	847.2883855
box004_20231003_2_083_p1	box004	E172	omnirt_v1	102	ZYX	6.004449064e-14	2.414836539e-06	0.07936507937	0.5079365079	0.4285714285	0.4285714285	1	0.8253968254	-0.1746031746	-0.1746031746	0.5784313725	0.2058823529	-0.3725490196	0.3725490196	0	0	0	-0	1.033202832	0.9963831512	-0.0368196808	0.0368196808	2.402705612	1.206559988	-1.196145624	1.196145624	1414.906318	647.5299104	-767.3764076	767.3764076
box004_20231003_2_083_p2	box004	E172	omnirt_v1	105	ZYX	6.206335383e-14	2.414836539e-06	0.01388888889	0.5833333333	0.5694444444	0.5694444444	0.9722222222	0.6111111111	-0.3611111111	-0.3611111111	0.6666666667	0.01904761905	-0.6476190477	0.6476190477	0	0	0	-0	1.007175352	0.8359505635	-0.1712247885	0.1712247885	2.417986045	1.150003086	-1.267982959	1.267982959	1763.272556	522.413822	-1240.858734	1240.858734
box004_20231003_2_086_p1	box004	E172	omnirt_v1	77	ZYX	4.744904746e-14	1.707547293e-06	0.1282051282	0.4102564103	0.2820512821	0.2820512821	0.358974359	0.5641025641	0.2051282051	0.2051282051	0.1168831169	0.07792207792	-0.03896103898	0.03896103898	0	0	0	-0	0.6564599978	0.8532331852	0.1967731874	-0.1967731874	1.392295815	1.117387044	-0.274908771	0.274908771	1499.13739	653.2520987	-845.8852913	845.8852913
box004_20231003_2_086_p2	box004	E172	omnirt_v1	73	ZYX	4.783309287e-14	1.707547293e-06	0.07692307692	0.3333333333	0.2564102564	0.2564102564	0.9230769231	0.6666666667	-0.2564102564	-0.2564102564	0.4657534247	0.1917808219	-0.2739726028	0.2739726028	0.2465753425	0.2739726027	0.0273972602	-0.0273972602	0.7916952487	0.35452984	-0.4371654087	0.4371654087	1.401148902	1.197431019	-0.203717883	0.203717883	5122.140555	760.6524361	-4361.488119	4361.488119
box021_20231011_034_p1	box021	E170	omnirt_v1	143	ZYX	6.707437924e-14	2.957558667e-06	0.01724137931	0.7068965517	0.6896551724	0.6896551724	1	0.8620689655	-0.1379310345	-0.1379310345	0.8041958042	0.1258741259	-0.6783216783	0.6783216783	0.01398601399	0.1398601399	0.1258741259	-0.1258741259	2.404735224	2.334419593	-0.070315631	0.070315631	4.207446236	1.44271853	-2.764727706	2.764727706	1732.755155	811.668148	-921.087007	921.087007
box021_20231011_034_p2	box021	E170	omnirt_v2	149	ZYX	1.139331726e-13	2.414836539e-06	0.128	0.664	0.536	0.536	1	0.96	-0.04	-0.04	0.7382550336	0.2483221477	-0.4899328859	0.4899328859	0.006711409396	0.05369127517	0.04697986577	-0.04697986577	2.361298804	1.583066285	-0.778232519	0.778232519	4.275868666	1.586919916	-2.68894875	2.68894875	1550.836098	564.8490972	-985.9870008	985.9870008
box021_20231011_036_p1	box021	E170	omnirt_v1	143	ZYX	5.236911533e-14	2.414836539e-06	0.05737704918	0.5737704918	0.5163934426	0.5163934426	1	0.8196721311	-0.1803278689	-0.1803278689	0.8251748252	0.2097902098	-0.6153846154	0.6153846154	0.2937062937	0.1538461538	-0.1398601399	0.1398601399	1.60347225	1.663572409	0.060100159	-0.060100159	2.775695849	1.220922874	-1.554772975	1.554772975	1333.882403	711.0872349	-622.7951681	622.7951681
box021_20231011_036_p2	box021	E170	omnirt_v1	144	ZYX	9.417487666e-14	1.707547293e-06	0.4201680672	0.5966386555	0.1764705883	0.1764705883	1	0.9411764706	-0.0588235294	-0.0588235294	0.4861111111	0.2847222222	-0.2013888889	0.2013888889	0	0	0	-0	1.695044885	1.390907082	-0.304137803	0.304137803	2.820834806	1.223215438	-1.597619368	1.597619368	1485.966658	727.1999475	-758.7667105	758.7667105
box021_20231011_037_p1	box021	E170	omnirt_v1	108	ZYX	1.048852318e-13	2.414836539e-06	0.07291666667	0.6145833333	0.5416666666	0.5416666666	0.90625	0.8958333333	-0.0104166667	-0.0104166667	0.7407407407	0.2685185185	-0.4722222222	0.4722222222	0.02777777778	0	-0.02777777778	0.02777777778	1.78714994	0.5408732627	-1.246276677	1.246276677	3.314949289	1.172671225	-2.142278064	2.142278064	1976.827551	736.2464604	-1240.581091	1240.581091
box021_20231011_037_p2	box021	E170	omnirt_v1	124	ZYX	4.440892099e-14	1.707547293e-06	0	0.3333333333	0.3333333333	0.3333333333	0.009803921569	0.5490196078	0.5392156862	0.5392156862	0.008064516129	0.1774193548	0.1693548387	-0.1693548387	0	0	0	-0	1.639091118	1.783966649	0.144875531	-0.144875531	3.368856776	1.099978799	-2.268877977	2.268877977	2091.525955	779.9762014	-1311.549754	1311.549754
