case_id	object_key	gate_version	calibration_arm	candidate_arm	threshold_omni_absolute_wide_contact_3mm_in_mask	omnirt_omni_absolute_wide_contact_3mm_in_mask	omnirt_gate_pass_omni_absolute_wide_contact_3mm_in_mask	threshold_omni_absolute_wide_contact_3mm_in_mask_box024	omnirt_omni_absolute_wide_contact_3mm_in_mask_box024	omnirt_gate_pass_omni_absolute_wide_contact_3mm_in_mask_box024	threshold_omni_absolute_wide_raw_contact_in_mask	omnirt_omni_absolute_wide_raw_contact_in_mask	omnirt_gate_pass_omni_absolute_wide_raw_contact_in_mask	threshold_omni_absolute_wide_hand_object_penetration_3mm	omnirt_omni_absolute_wide_hand_object_penetration_3mm	omnirt_gate_pass_omni_absolute_wide_hand_object_penetration_3mm	threshold_omni_absolute_wide_lower_body_penetration	omnirt_omni_absolute_wide_lower_body_penetration	omnirt_gate_pass_omni_absolute_wide_lower_body_penetration	threshold_omni_absolute_wide_foot_slip_max_m	omnirt_omni_absolute_wide_foot_slip_max_m	omnirt_gate_pass_omni_absolute_wide_foot_slip_max_m	threshold_omni_absolute_wide_ankle_jerk_p95	omnirt_omni_absolute_wide_ankle_jerk_p95	omnirt_gate_pass_omni_absolute_wide_ankle_jerk_p95	omnirt_wide_gate_pass	omnirt_failure_modes	rl_filter_decision	rl_export_authority
box001_20231023_107_p2	box001	E197-omni-absolute-wide-v4	OmniRetarget	OmniRetarget	0.01	0.02777777778	true				0.5	0.9444444444	true	0.8	0.6804123711	true	0.3	0.03092783505	true	1.9	1.384294995	true	4000	1436.049229	true	true		RL_CANDIDATE_OMNI_WIDE_GATE_PASS	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box001_20231023_108_p1	box001	E197-omni-absolute-wide-v4	OmniRetarget	OmniRetarget	0.01	0.02380952381	true				0.5	0.9761904762	true	0.8	0.6722689076	true	0.3	0.1092436975	true	1.9	1.053914779	true	4000	1250.55414	true	true		RL_CANDIDATE_OMNI_WIDE_GATE_PASS	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box001_20231023_108_p2	box001	E197-omni-absolute-wide-v4	OmniRetarget	OmniRetarget	0.01	0.01219512195	true				0.5	0.3048780488	false	0.8	0.2336448598	true	0.3	0.3551401869	false	1.9	1.194914757	true	4000	1370.56884	true	false	omni_absolute_wide_raw_contact_in_mask;omni_absolute_wide_lower_body_penetration	RL_CANDIDATE_FILTERED_OMNI_WIDE_GATE	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box001_20231023_109_p1	box001	E197-omni-absolute-wide-v4	OmniRetarget	OmniRetarget	0.01	0.01408450704	true				0.5	1	true	0.8	0.6818181818	true	0.3	0.4272727273	false	1.9	0.9777754447	true	4000	1628.027093	true	false	omni_absolute_wide_lower_body_penetration	RL_CANDIDATE_FILTERED_OMNI_WIDE_GATE	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box001_20231023_109_p2	box001	E197-omni-absolute-wide-v4	OmniRetarget	OmniRetarget	0.01	0	false				0.5	0.9852941176	true	0.8	0.6363636364	true	0.3	0	true	1.9	1.090291613	true	4000	1178.432124	true	false	omni_absolute_wide_contact_3mm_in_mask	RL_CANDIDATE_FILTERED_OMNI_WIDE_GATE	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box001_20231023_110_p1	box001	E197-omni-absolute-wide-v4	OmniRetarget	OmniRetarget	0.01	0.07954545455	true				0.5	0.9318181818	true	0.8	0.4367816092	true	0.3	0.2011494253	true	1.9	0.9124049398	true	4000	3413.24251	true	true		RL_CANDIDATE_OMNI_WIDE_GATE_PASS	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box001_20231023_110_p2	box001	E197-omni-absolute-wide-v4	OmniRetarget	OmniRetarget	0.01	0.09782608696	true				0.5	1	true	0.8	0.4526315789	true	0.3	0	true	1.9	1.945109569	false	4000	1363.223563	true	false	omni_absolute_wide_foot_slip_max_m	RL_CANDIDATE_FILTERED_OMNI_WIDE_GATE	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box004_20231003_2_082_p1	box004	E197-omni-absolute-wide-v4	OmniRetarget	OmniRetarget	0.01	0.09836065574	true				0.5	0.9016393443	true	0.8	0.4678899083	true	0.3	0	true	1.9	1.345057277	true	4000	1488.44169	true	true		RL_CANDIDATE_OMNI_WIDE_GATE_PASS	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box004_20231003_2_082_p2	box004	E197-omni-absolute-wide-v4	OmniRetarget	OmniRetarget	0.01	0	false				0.5	0.9841269841	true	0.8	0.5833333333	true	0.3	0	true	1.9	1.758424135	true	4000	1687.113296	true	false	omni_absolute_wide_contact_3mm_in_mask	RL_CANDIDATE_FILTERED_OMNI_WIDE_GATE	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box004_20231003_2_083_p1	box004	E197-omni-absolute-wide-v4	OmniRetarget	OmniRetarget	0.01	0.07936507937	true				0.5	1	true	0.8	0.5784313725	true	0.3	0	true	1.9	1.033202832	true	4000	1414.906318	true	true		RL_CANDIDATE_OMNI_WIDE_GATE_PASS	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
