case_id	object_key	gate_version	calibration_arm	candidate_arm	threshold_contact_3mm_in_mask	relative_threshold_contact_3mm_in_mask	omnirt_contact_3mm_in_mask	omnirt_gate_pass_contact_3mm_in_mask	prg_contact_3mm_in_mask	prg_gate_pass_contact_3mm_in_mask	threshold_raw_contact_in_mask	relative_threshold_raw_contact_in_mask	omnirt_raw_contact_in_mask	omnirt_gate_pass_raw_contact_in_mask	prg_raw_contact_in_mask	prg_gate_pass_raw_contact_in_mask	threshold_hand_object_penetration_3mm	relative_threshold_hand_object_penetration_3mm	omnirt_hand_object_penetration_3mm	omnirt_gate_pass_hand_object_penetration_3mm	prg_hand_object_penetration_3mm	prg_gate_pass_hand_object_penetration_3mm	threshold_lower_body_penetration	relative_threshold_lower_body_penetration	omnirt_lower_body_penetration	omnirt_gate_pass_lower_body_penetration	prg_lower_body_penetration	prg_gate_pass_lower_body_penetration	threshold_foot_slip_max_m	relative_threshold_foot_slip_max_m	omnirt_foot_slip_max_m	omnirt_gate_pass_foot_slip_max_m	prg_foot_slip_max_m	prg_gate_pass_foot_slip_max_m	threshold_obj_speed_max	relative_threshold_obj_speed_max	omnirt_obj_speed_max	omnirt_gate_pass_obj_speed_max	prg_obj_speed_max	prg_gate_pass_obj_speed_max	threshold_ankle_jerk_p95	relative_threshold_ankle_jerk_p95	omnirt_ankle_jerk_p95	omnirt_gate_pass_ankle_jerk_p95	prg_ankle_jerk_p95	prg_gate_pass_ankle_jerk_p95	prg_absolute_gate_pass_hand_object_physics_contact_in_mask_frac	prg_absolute_gate_pass_hand_object_physics_penetration_3mm_frame_frac	prg_absolute_gate_pass_leg_penetration_frac	prg_absolute_failure_modes	omnirt_wide_gate_pass	omnirt_failure_modes	prg_wide_gate_pass	prg_failure_modes	rl_filter_decision	rl_export_authority
box001_20231023_107_p1	box001	E197-omni-wide-v1	OmniRetarget	PRG	0.1	-0.04805194805	0.05194805195	true	0.5324675325	true	0.1	0.9	1	true	0.7922077922	false	0.1	0.8352941176	0.7352941176	true	0.1960784314	true	0.1	0.3647058824	0.2647058824	true	0.2450980392	true	1.5	2.219036091	1.479357394	true	1.369061746	true	1.5	2.363687762	1.575791841	true	1.452247148	true	1.5	2070.30453	1380.20302	true	791.7962735	true	true	true	false	leg_penetration_frac	true		false	raw_contact_in_mask;absolute:leg_penetration_frac	RL_CANDIDATE_FILTERED_WIDE_GATE	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box001_20231023_107_p2	box001	E197-omni-wide-v1	OmniRetarget	PRG	0.1	-0.07222222222	0.02777777778	true	0.6111111111	true	0.1	0.8444444444	0.9444444444	true	0.9305555556	true	0.1	0.7804123711	0.6804123711	true	0.2886597938	true	0.1	0.130927835	0.03092783505	true	0.01030927835	true	1.5	2.076442493	1.384294995	true	0.5346895252	true	1.5	2.373870107	1.582580071	true	1.250414084	true	1.5	2154.073843	1436.049229	true	601.7822124	true	true	true	true		true		true		RL_CANDIDATE_WIDE_GATE_PASS	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box001_20231023_108_p1	box001	E197-omni-wide-v1	OmniRetarget	PRG	0.1	-0.07619047619	0.02380952381	true	0.4404761905	true	0.1	0.8761904762	0.9761904762	true	0.8928571429	true	0.1	0.7722689076	0.6722689076	true	0.3193277311	true	0.1	0.2092436975	0.1092436975	true	0	true	1.5	1.580872169	1.053914779	true	0.6370532466	true	1.5	2.128746465	1.41916431	true	0.9285646748	true	1.5	1875.83121	1250.55414	true	511.6510918	true	true	false	true	hand_object_physics_penetration_3mm_frame_frac	true		false	absolute:hand_object_physics_penetration_3mm_frame_frac	RL_CANDIDATE_FILTERED_WIDE_GATE	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box001_20231023_108_p2	box001	E197-omni-wide-v1	OmniRetarget	PRG	0.1	-0.08780487805	0.01219512195	true	0.6707317073	true	0.1	0.2048780488	0.3048780488	true	0.7195121951	true	0.1	0.3336448598	0.2336448598	true	0.03738317757	true	0.1	0.4551401869	0.3551401869	true	0.1121495327	true	1.5	1.792372135	1.194914757	true	1.20413247	true	1.5	2.137918565	1.425279043	true	1.353502124	true	1.5	2055.85326	1370.56884	true	534.667897	true	true	true	false	leg_penetration_frac	true		false	absolute:leg_penetration_frac	RL_CANDIDATE_FILTERED_WIDE_GATE	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box001_20231023_109_p1	box001	E197-omni-wide-v1	OmniRetarget	PRG	0.1	-0.08591549296	0.01408450704	true	0.4225352113	true	0.1	0.9	1	true	0.9014084507	true	0.1	0.7818181818	0.6818181818	true	0.3090909091	true	0.1	0.5272727273	0.4272727273	true	0	true	1.5	1.466663167	0.9777754447	true	1.000519835	true	1.5	2.253738957	1.502492638	true	1.130519755	true	1.5	2442.040639	1628.027093	true	668.0989367	true	true	false	true	hand_object_physics_penetration_3mm_frame_frac	true		false	absolute:hand_object_physics_penetration_3mm_frame_frac	RL_CANDIDATE_FILTERED_WIDE_GATE	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box001_20231023_109_p2	box001	E197-omni-wide-v1	OmniRetarget	PRG	0.1	-0.1	0	true	0.6029411765	true	0.1	0.8852941176	0.9852941176	true	0.8382352941	false	0.1	0.7363636364	0.6363636364	true	0.1636363636	true	0.1	0.1	0	true	0	true	1.5	1.63543742	1.090291613	true	0.7903300851	true	1.5	2.263450928	1.508967285	true	0.8858965182	true	1.5	1767.648186	1178.432124	true	394.4701646	true	true	true	true		true		false	raw_contact_in_mask	RL_CANDIDATE_FILTERED_WIDE_GATE	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box001_20231023_110_p1	box001	E197-omni-wide-v1	OmniRetarget	PRG	0.1	-0.02045454545	0.07954545455	true	0	true	0.1	0.8318181818	0.9318181818	true	0	false	0.1	0.5367816092	0.4367816092	true	0	true	0.1	0.3011494253	0.2011494253	true	0	true	1.5	1.36860741	0.9124049398	true	0.4014287919	true	1.5	1.951384623	1.300923082	true	0.9355582604	true	1.5	5119.863765	3413.24251	true	1126.690968	true	false	true	true	hand_object_physics_contact_in_mask_frac	true		false	raw_contact_in_mask;absolute:hand_object_physics_contact_in_mask_frac	RL_CANDIDATE_FILTERED_WIDE_GATE	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box001_20231023_110_p2	box001	E197-omni-wide-v1	OmniRetarget	PRG	0.1	-0.00217391304	0.09782608696	true	0.6413043478	true	0.1	0.9	1	true	0.7065217391	false	0.1	0.5526315789	0.4526315789	true	0.04210526316	true	0.1	0.1	0	true	0	true	1.5	2.917664354	1.945109569	true	0.7736087286	true	1.5	1.959790893	1.306527262	true	1.105745776	true	1.5	2044.835345	1363.223563	true	566.4632476	true	true	true	true		true		false	raw_contact_in_mask	RL_CANDIDATE_FILTERED_WIDE_GATE	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box004_20231003_2_082_p1	box004	E197-omni-wide-v1	OmniRetarget	PRG	0.1	-0.00163934426	0.09836065574	true	0.393442623	true	0.1	0.8016393443	0.9016393443	true	0.7213114754	false	0.1	0.5678899083	0.4678899083	true	0.2018348624	true	0.1	0.1	0	true	0	true	1.5	2.017585915	1.345057277	true	0.7695138447	true	1.5	8.546868206	5.697912137	true	1.986952745	true	1.5	2232.662535	1488.44169	true	686.603358	true	true	true	true		true		false	raw_contact_in_mask	RL_CANDIDATE_FILTERED_WIDE_GATE	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box004_20231003_2_082_p2	box004	E197-omni-wide-v1	OmniRetarget	PRG	0.1	-0.1	0	true	0.4761904762	true	0.1	0.8841269841	0.9841269841	true	0.7777777778	false	0.1	0.6833333333	0.5833333333	true	0.1851851852	true	0.1	0.1	0	true	0.06481481481	true	1.5	2.637636202	1.758424135	true	1.580105484	true	1.5	8.601223211	5.734148807	true	2.054315487	true	1.5	2530.669944	1687.113296	true	839.8249105	true	true	true	true		true		false	raw_contact_in_mask	RL_CANDIDATE_FILTERED_WIDE_GATE	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
